Year,Total_Population,Male_Population,Female_Population,Median_Age_Total,Median_Age_Male,Median_Age_Female,White_Alone,Black_Alone,American_Indian_Alaska_Native,Asian_Alone,Native_Hawaiian_Pacific_Islander,Other_Race_Alone,Two_Or_More_Races,Hispanic_Latino,Median_Household_Income,Per_Capita_Income,Total_Housing_Units,Occupied_Housing_Units,Vacant_Housing_Units,Male_Percentage,Female_Percentage,White_Percentage,Black_Percentage,Asian_Percentage,Hispanic_Latino_Percentage,Housing_Occupancy_Rate,Housing_Vacancy_Rate,Population_Density_Per_Km2
2015,8426743,4015044,4411699,36.239999999999995,34.72,37.64,3648214,2065597,32790,1139294,3389,1269789,267670,2437297,57257.6,33828.0,3422225,3113535,308690,47.646451303902346,52.353548696097654,43.29328662331342,24.51240057991563,13.519980376760035,28.923357458510363,90.97984498389205,9.020155016107942,10828.505525571833
2016,8461961,4033736,4428225,36.4,34.9,37.739999999999995,3644982,2064927,33388,1159883,3995,1277265,277521,2457945,59046.8,34772.2,3436084,3128246,307838,47.66904503577835,52.330954964221654,43.07490899568079,24.402464156948962,13.707023702898184,29.046990408015354,91.0410222800141,8.95897771998589,10873.76124389617
2017,8560072,4079907,4480165,36.74,35.22,38.080000000000005,3661800,2081507,34487,1198334,4358,1294497,285089,2491496,61481.6,36382.8,3455117,3142405,312712,47.662064057405125,52.33793594259487,42.77767757093632,24.316466029724985,13.99911122242897,29.106016865278704,90.94930793949959,9.050692060500412,10999.835517861731
2018,8443713,4025097,4418616,37.0,35.480000000000004,38.3,3603057,2049418,36075,1177700,4339,1277050,296074,2457137,64162.6,38188.4,3472354,3154103,318251,47.669751447023366,52.330248552976634,42.671476399067565,24.271526045473124,13.947655492317182,29.10019561299632,90.83471904074297,9.165280959257034,10850.312259059367
2019,8419316,4015982,4403334,37.2,35.7,38.540000000000006,3597217,2046877,36250,1186608,4802,1241614,305948,2447862,67664.2,40276.0,3494228,3167034,327194,47.69962310477478,52.30037689522522,42.725762995473744,24.311678050806027,14.09387650968321,29.074357109294862,90.63615768633301,9.363842313666996,10818.961706502183
2020,8379552,3997959,4381593,37.42,35.86,38.88,3463286,1996121,36884,1197261,5283,1209179,471538,2423869,70617.8,41907.4,3519595,3191691,327904,47.71089194267187,52.28910805732813,41.33020476512348,23.821333169124078,14.28788794436743,28.92599747576004,90.6834735246527,9.316526475347306,10767.864302235928
