Year,Age_Group,Male_Population,Female_Population,Total_Population_Age_Group
2020,Under 5,221358,210722,432080
2020,5-9,186231,180180,366411
2020,10-14,191716,181807,373523
2020,15-17,107107,103667,210774
2020,18-19,67705,69903,137608
2020,20,36632,37058,73690
2020,21,37274,39737,77011
2020,22-24,131101,147056,278157
2020,25-29,313486,333962,647448
2020,30-34,305577,312103,617680
2020,35-39,250913,260424,511337
2020,40-44,220757,230355,451112
2020,45-49,212108,225895,438003
2020,50-54,208779,226028,434807
2020,55-59,207178,227774,434952
2020,60-61,77698,93854,171552
2020,62-64,106047,121948,227995
2020,65-66,66906,79297,146203
2020,67-69,84915,108342,193257
2020,70-74,112269,148199,260468
2020,75-79,77097,108576,185673
2020,80-84,51190,80966,132156
2020,85+,51431,99168,150599
