Year,Total_Population,Male_Population,Female_Population,Median_Age_Total,Median_Age_Male,Median_Age_Female,White_Alone,Black_Alone,American_Indian_Alaska_Native,Asian_Alone,Native_Hawaiian_Pacific_Islander,Other_Race_Alone,Two_Or_More_Races,Hispanic_Latino,Median_Household_Income,Per_Capita_Income,Total_Housing_Units,Occupied_Housing_Units,Vacant_Housing_Units,Male_Percentage,Female_Percentage,White_Percentage,Black_Percentage,Asian_Percentage,Hispanic_Latino_Percentage,Housing_Occupancy_Rate,Housing_Vacancy_Rate,Population_Density_Per_Km2
2018,8443713,4025097,4418616,37.0,35.480000000000004,38.3,3603057,2049418,36075,1177700,4339,1277050,296074,2457137,64162.6,38188.4,3472354,3154103,318251,47.669751447023366,52.330248552976634,42.671476399067565,24.271526045473124,13.947655492317182,29.10019561299632,90.83471904074297,9.165280959257034,10850.312259059367
2019,8419316,4015982,4403334,37.2,35.7,38.540000000000006,3597217,2046877,36250,1186608,4802,1241614,305948,2447862,67664.2,40276.0,3494228,3167034,327194,47.69962310477478,52.30037689522522,42.725762995473744,24.311678050806027,14.09387650968321,29.074357109294862,90.63615768633301,9.363842313666996,10818.961706502183
2020,8379552,3997959,4381593,37.42,35.86,38.88,3463286,1996121,36884,1197261,5283,1209179,471538,2423869,70617.8,41907.4,3519595,3191691,327904,47.71089194267187,52.28910805732813,41.33020476512348,23.821333169124078,14.28788794436743,28.92599747576004,90.6834735246527,9.316526475347306,10767.864302235928
2021,8736047,4192240,4543807,37.72,36.36,39.040000000000006,3474805,2042560,45784,1244510,5600,1301785,621003,2521022,74149.6,44300.4,3590995,3250657,340338,47.987837061774044,52.01216293822595,39.77548426651093,23.38082659124888,14.24568800969134,28.857697308633984,90.52245965254755,9.477540347452447,11225.966332562322
2022,8622467,4148719,4473748,37.92,36.54,39.339999999999996,3230647,1992200,52828,1247994,5431,1325866,767501,2503005,80044.8,48222.4,3620774,3282804,337970,48.11522038878201,51.88477961121799,37.46778039278086,23.104756446153985,14.473746318773967,29.028873059183642,90.66580791841744,9.334192081582557,11080.014135183757
